compound	reaction	type	A2O_abundance	AO_abundance
C00003	R01837	NA	0.12578616352201258	0.22448979591836735
C00004	R01837	NA	0.12578616352201258	0.22448979591836735
C00080	R01837	NA	0.12578616352201258	0.22448979591836735
C00280	R01837	NA	0.12578616352201258	0.22448979591836735
C01227	R01837	NA	0.12578616352201258	0.22448979591836735
C00028	R01834	NA	0.06918238993710692	0.061224489795918366
C00030	R01834	NA	0.06918238993710692	0.061224489795918366
C00280	R01834	NA	0.06918238993710692	0.061224489795918366
C00674	R01834	NA	0.06918238993710692	0.061224489795918366
C00118	R01830	NA	1.8427672955974843	1.5
C00231	R01830	NA	1.8427672955974843	1.5
C00279	R01830	NA	1.8427672955974843	1.5
C05345	R01830	NA	1.8427672955974843	1.5
C00005	R01838	NA	0.031446540880503145	0.11224489795918367
C00006	R01838	NA	0.031446540880503145	0.11224489795918367
C00080	R01838	NA	0.031446540880503145	0.11224489795918367
C00280	R01838	NA	0.031446540880503145	0.11224489795918367
C00535	R01838	NA	0.031446540880503145	0.11224489795918367
C00546	R10050	NA	0.006289308176100629	0.0
C00577	R10050	NA	0.006289308176100629	0.0
C01094	R10050	NA	0.006289308176100629	0.0
C16848	R10050	NA	0.006289308176100629	0.0
C00007	R07363	NA	0.11949685534591195	0.1326530612244898
C00058	R07363	NA	0.11949685534591195	0.1326530612244898
C00237	R07363	NA	0.11949685534591195	0.1326530612244898
C08276	R07363	NA	0.11949685534591195	0.1326530612244898
C15606	R07363	NA	0.11949685534591195	0.1326530612244898
C00003	R06180	NA	0.07547169811320754	0.04081632653061224
C00004	R06180	NA	0.07547169811320754	0.04081632653061224
C00080	R06180	NA	0.07547169811320754	0.04081632653061224
C00898	R06180	NA	0.07547169811320754	0.04081632653061224
C03459	R06180	NA	0.07547169811320754	0.04081632653061224
C06006	R05069	NA	0.4968553459119497	0.46938775510204084
C14463	R05069	NA	0.4968553459119497	0.46938775510204084
C00005	R05068	NA	0.4968553459119497	0.46938775510204084
C00006	R05068	NA	0.4968553459119497	0.46938775510204084
C00080	R05068	NA	0.4968553459119497	0.46938775510204084
C06007	R05068	NA	0.4968553459119497	0.46938775510204084
C14463	R05068	NA	0.4968553459119497	0.46938775510204084
C00003	R05066	NA	0.7557651991614255	0.6071428571428571
C00004	R05066	NA	0.7557651991614255	0.6071428571428571
